PUBLIC REPO DRIFT H2H 2026-05-29T00:30:21Z
name=dominic_live_master_100k_b142 repo=TobyCoad/fullhouse-engine head_sha=93516f33675d32beaeb3228a554c1323926cd71d bot_path=bots/master/bot.py
hero=/Users/farhad/Code/PokerBot/submissions/v_final.zip sha256=e4b4a8f11f801ecef2eca53629241e83cc9bace8ec74004f19368375f22d9598
opponent_src=consult/artifacts/2026-05-29-public-repo-drift/_clones/TobyCoad_fullhouse-engine/bots/master
opponent_zip=/Users/farhad/Code/PokerBot/consult/artifacts/2026-05-29-public-repo-drift/opponent_zips/dominic_live_master_100k_b142.zip sha256=d09ad23f6f76a3f8e05cc57561af6a75bd554da73c67c476307689842f8b3508
target_scheduled_hands=100000 match_len=500 seed_stride=1000
seed schedule: seed = base + k * seed_stride; each seed runs two seat orientations

seed=42142 o=0 hands=  25/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -400.00 hero_err=0 opp_err=0 dur=0.45s
seed=42142 o=1 hands=  11/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -909.09 hero_err=0 opp_err=0 dur=0.35s
seed=43142 o=0 hands=  26/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -384.62 hero_err=0 opp_err=0 dur=0.53s
seed=43142 o=1 hands=  32/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +312.50 hero_err=0 opp_err=0 dur=0.63s
seed=44142 o=0 hands=  20/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -500.00 hero_err=0 opp_err=0 dur=0.49s
seed=44142 o=1 hands=  12/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -833.33 hero_err=0 opp_err=0 dur=0.38s
seed=45142 o=0 hands=  21/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -476.19 hero_err=0 opp_err=0 dur=0.46s
seed=45142 o=1 hands=  32/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -312.50 hero_err=0 opp_err=0 dur=0.59s
seed=46142 o=0 hands=  35/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -285.71 hero_err=0 opp_err=0 dur=0.65s
seed=46142 o=1 hands=   9/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=-1111.11 hero_err=0 opp_err=0 dur=0.33s
seed=47142 o=0 hands=  49/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +204.08 hero_err=0 opp_err=0 dur=0.81s
seed=47142 o=1 hands=  18/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -555.56 hero_err=0 opp_err=0 dur=0.45s
seed=48142 o=0 hands=  25/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +400.00 hero_err=0 opp_err=0 dur=0.55s
seed=48142 o=1 hands=  17/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -588.24 hero_err=0 opp_err=0 dur=0.41s
seed=49142 o=0 hands=  41/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +243.90 hero_err=0 opp_err=0 dur=0.66s
seed=49142 o=1 hands=  17/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -588.24 hero_err=0 opp_err=0 dur=0.44s
seed=50142 o=0 hands=  44/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -227.27 hero_err=0 opp_err=0 dur=0.71s
seed=50142 o=1 hands=  23/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -434.78 hero_err=0 opp_err=0 dur=0.48s
seed=51142 o=0 hands=  29/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -344.83 hero_err=0 opp_err=0 dur=0.61s
seed=51142 o=1 hands=  25/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -400.00 hero_err=0 opp_err=0 dur=0.48s
seed=52142 o=0 hands=  57/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -175.44 hero_err=0 opp_err=0 dur=0.85s
seed=52142 o=1 hands=  34/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -294.12 hero_err=0 opp_err=0 dur=0.64s
seed=53142 o=0 hands=  57/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -175.44 hero_err=0 opp_err=0 dur=0.89s
seed=53142 o=1 hands=  54/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -185.19 hero_err=0 opp_err=0 dur=0.86s
seed=54142 o=0 hands=   4/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=+2500.00 hero_err=0 opp_err=0 dur=0.18s
seed=54142 o=1 hands=  28/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -357.14 hero_err=0 opp_err=0 dur=0.47s
seed=55142 o=0 hands=  96/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -104.17 hero_err=0 opp_err=0 dur=1.39s
seed=55142 o=1 hands=  18/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -555.56 hero_err=0 opp_err=0 dur=0.38s
seed=56142 o=0 hands=  15/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -666.67 hero_err=0 opp_err=0 dur=0.39s
seed=56142 o=1 hands=  16/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -625.00 hero_err=0 opp_err=0 dur=0.39s
seed=57142 o=0 hands=  27/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -370.37 hero_err=0 opp_err=0 dur=0.55s
seed=57142 o=1 hands=  52/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -192.31 hero_err=0 opp_err=0 dur=0.85s
seed=58142 o=0 hands=  18/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +555.56 hero_err=0 opp_err=0 dur=0.44s
seed=58142 o=1 hands=  17/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -588.24 hero_err=0 opp_err=0 dur=0.40s
seed=59142 o=0 hands=   9/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=-1111.11 hero_err=0 opp_err=0 dur=0.33s
seed=59142 o=1 hands=  15/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +666.67 hero_err=0 opp_err=0 dur=0.40s
seed=60142 o=0 hands=  19/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -526.32 hero_err=0 opp_err=0 dur=0.49s
seed=60142 o=1 hands=  37/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -270.27 hero_err=0 opp_err=0 dur=0.71s
seed=61142 o=0 hands=  44/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -227.27 hero_err=0 opp_err=0 dur=0.82s
seed=61142 o=1 hands=  19/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -526.32 hero_err=0 opp_err=0 dur=0.41s
seed=62142 o=0 hands=  49/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -204.08 hero_err=0 opp_err=0 dur=0.73s
seed=62142 o=1 hands=  11/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -909.09 hero_err=0 opp_err=0 dur=0.37s
seed=63142 o=0 hands=  59/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +169.49 hero_err=0 opp_err=0 dur=0.92s
seed=63142 o=1 hands=  10/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=-1000.00 hero_err=0 opp_err=0 dur=0.37s
seed=64142 o=0 hands=  13/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -769.23 hero_err=0 opp_err=0 dur=0.41s
seed=64142 o=1 hands=  28/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -357.14 hero_err=0 opp_err=0 dur=0.58s
seed=65142 o=0 hands=  11/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -909.09 hero_err=0 opp_err=0 dur=0.36s
seed=65142 o=1 hands=  30/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -333.33 hero_err=0 opp_err=0 dur=0.55s
seed=66142 o=0 hands=  24/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -416.67 hero_err=0 opp_err=0 dur=0.51s
