PUBLIC SATURATION 2026-05-28T01:59:54Z
opponent=vladimir base=342
hero=/Users/farhad/Code/PokerBot/submissions/v_final.zip sha256=e4b4a8f11f801ecef2eca53629241e83cc9bace8ec74004f19368375f22d9598
opponent_zip=/Users/farhad/Code/PokerBot/consult/artifacts/2026-05-28-public-saturation/opponent_zips/vladimir.zip sha256=7264dbca80ebcbad755c19b9d84ab054658299090d582a5ca0fcd7fe30de7473
claimed_zip=/Users/farhad/Code/PokerBot/ext/public-bots/vladimir/bots/vlad.zip root_bot_py=False
target_scheduled_hands=100000 match_len=500 seed_stride=1000
seed schedule: seed = base + k * seed_stride; each seed runs two seat orientations

seed=41342 o=1 hands=  56/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +178.57 hero_err=0 opp_err=0 dur=2.05s
seed=42342 o=0 hands=  38/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -263.16 hero_err=0 opp_err=0 dur=1.15s
seed=42342 o=1 hands=  27/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -370.37 hero_err=0 opp_err=0 dur=1.10s
seed=43342 o=0 hands=  14/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +714.29 hero_err=0 opp_err=0 dur=0.84s
seed=43342 o=1 hands=   3/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=-3333.33 hero_err=0 opp_err=0 dur=0.75s
seed=44342 o=0 hands=  45/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +222.22 hero_err=0 opp_err=0 dur=2.25s
seed=44342 o=1 hands=   2/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=-5000.00 hero_err=0 opp_err=0 dur=0.62s
seed=45342 o=0 hands=  24/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +416.67 hero_err=0 opp_err=0 dur=1.05s
seed=45342 o=1 hands=  60/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +166.67 hero_err=0 opp_err=0 dur=1.79s
seed=46342 o=0 hands=  15/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +666.67 hero_err=0 opp_err=0 dur=1.19s
seed=46342 o=1 hands=   2/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=-5000.00 hero_err=0 opp_err=0 dur=0.49s
seed=47342 o=0 hands=  54/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +185.19 hero_err=0 opp_err=0 dur=2.32s
seed=47342 o=1 hands=   3/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=-3333.33 hero_err=0 opp_err=0 dur=0.49s
seed=48342 o=0 hands=  39/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +256.41 hero_err=0 opp_err=0 dur=1.28s
seed=48342 o=1 hands=  18/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +555.56 hero_err=0 opp_err=0 dur=1.12s
seed=49342 o=0 hands=   8/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=+1250.00 hero_err=0 opp_err=0 dur=0.63s
seed=49342 o=1 hands=  18/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +555.56 hero_err=0 opp_err=0 dur=1.00s
seed=50342 o=0 hands=  20/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +500.00 hero_err=0 opp_err=0 dur=1.10s
seed=50342 o=1 hands=  15/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +666.67 hero_err=0 opp_err=0 dur=0.84s
seed=51342 o=0 hands=  53/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +188.68 hero_err=0 opp_err=0 dur=1.63s
seed=51342 o=1 hands=  29/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +344.83 hero_err=0 opp_err=0 dur=1.18s
seed=52342 o=0 hands=  48/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +208.33 hero_err=0 opp_err=0 dur=2.15s
seed=52342 o=1 hands=   2/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=-5000.00 hero_err=0 opp_err=0 dur=0.58s
seed=53342 o=0 hands=  12/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -833.33 hero_err=0 opp_err=0 dur=0.87s
seed=53342 o=1 hands=  54/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +185.19 hero_err=0 opp_err=0 dur=2.26s
seed=54342 o=0 hands=  45/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +222.22 hero_err=0 opp_err=0 dur=1.66s
seed=54342 o=1 hands=  27/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -370.37 hero_err=0 opp_err=0 dur=1.26s
seed=55342 o=0 hands=  18/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -555.56 hero_err=0 opp_err=0 dur=0.91s
