PUBLIC SATURATION 2026-05-28T01:24:41Z
opponent=famadeo base=242
hero=/Users/farhad/Code/PokerBot/submissions/v_final.zip sha256=e4b4a8f11f801ecef2eca53629241e83cc9bace8ec74004f19368375f22d9598
opponent_zip=/Users/farhad/Code/PokerBot/consult/artifacts/2026-05-28-public-saturation/opponent_zips/famadeo.zip sha256=aa14124b4b7456155a8528573d653d0fa2e5c5816ca08b127bfef7af8fd3a531
target_scheduled_hands=100000 match_len=500 seed_stride=1000
seed schedule: seed = base + k * seed_stride; each seed runs two seat orientations

seed=50242 o=0 hands=  92/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +108.70 hero_err=0 opp_err=0 dur=3.55s
seed=50242 o=1 hands= 242/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +41.32 hero_err=0 opp_err=0 dur=7.92s
seed=51242 o=0 hands= 120/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=  -83.33 hero_err=0 opp_err=0 dur=4.68s
seed=51242 o=1 hands= 260/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +38.46 hero_err=0 opp_err=0 dur=9.78s
seed=52242 o=0 hands=  25/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +400.00 hero_err=0 opp_err=0 dur=1.69s
seed=52242 o=1 hands=  58/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -172.41 hero_err=0 opp_err=0 dur=2.86s
seed=53242 o=0 hands=  35/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -285.71 hero_err=0 opp_err=0 dur=1.87s
seed=53242 o=1 hands= 276/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +36.23 hero_err=0 opp_err=0 dur=9.66s
seed=54242 o=0 hands= 155/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +64.52 hero_err=0 opp_err=0 dur=5.66s
seed=54242 o=1 hands=  58/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -172.41 hero_err=0 opp_err=0 dur=2.99s
seed=55242 o=0 hands=  11/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -909.09 hero_err=0 opp_err=0 dur=1.26s
seed=55242 o=1 hands= 123/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +81.30 hero_err=0 opp_err=0 dur=5.16s
seed=56242 o=0 hands=  45/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +222.22 hero_err=0 opp_err=0 dur=2.31s
seed=56242 o=1 hands=  16/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +625.00 hero_err=0 opp_err=0 dur=1.37s
seed=57242 o=0 hands=  43/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -232.56 hero_err=0 opp_err=0 dur=2.06s
seed=57242 o=1 hands= 141/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=  -70.92 hero_err=0 opp_err=0 dur=4.78s
seed=58242 o=0 hands= 211/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=  -47.39 hero_err=0 opp_err=0 dur=7.94s
seed=58242 o=1 hands=  36/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +277.78 hero_err=0 opp_err=0 dur=2.00s
seed=59242 o=0 hands= 185/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +54.05 hero_err=0 opp_err=0 dur=6.78s
seed=59242 o=1 hands=  16/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -625.00 hero_err=0 opp_err=0 dur=1.35s
seed=60242 o=0 hands= 107/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +93.46 hero_err=0 opp_err=0 dur=3.57s
seed=60242 o=1 hands=  85/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +117.65 hero_err=0 opp_err=0 dur=3.44s
seed=61242 o=0 hands=  14/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -714.29 hero_err=0 opp_err=0 dur=1.38s
seed=61242 o=1 hands=  59/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +169.49 hero_err=0 opp_err=0 dur=2.99s
seed=62242 o=0 hands=  55/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -181.82 hero_err=0 opp_err=0 dur=2.31s
seed=62242 o=1 hands= 236/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +42.37 hero_err=0 opp_err=0 dur=7.76s
seed=63242 o=0 hands=  69/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -144.93 hero_err=0 opp_err=0 dur=3.43s
seed=63242 o=1 hands=  80/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -125.00 hero_err=0 opp_err=0 dur=3.60s
seed=64242 o=0 hands= 107/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +93.46 hero_err=0 opp_err=0 dur=4.17s
seed=64242 o=1 hands= 138/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +72.46 hero_err=0 opp_err=0 dur=5.69s
seed=65242 o=0 hands= 120/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +83.33 hero_err=0 opp_err=0 dur=4.84s
seed=65242 o=1 hands=  75/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -133.33 hero_err=0 opp_err=0 dur=3.22s
seed=66242 o=0 hands=  36/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +277.78 hero_err=0 opp_err=0 dur=1.55s
seed=66242 o=1 hands=  34/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -294.12 hero_err=0 opp_err=0 dur=2.15s
seed=67242 o=0 hands= 187/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=  -53.48 hero_err=0 opp_err=0 dur=7.43s
seed=67242 o=1 hands= 224/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=  -44.64 hero_err=0 opp_err=0 dur=7.59s
seed=68242 o=0 hands=  27/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -370.37 hero_err=0 opp_err=0 dur=1.67s
seed=68242 o=1 hands=  23/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +434.78 hero_err=0 opp_err=0 dur=1.52s
seed=69242 o=0 hands=  29/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -344.83 hero_err=0 opp_err=0 dur=1.75s
seed=69242 o=1 hands= 266/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +37.59 hero_err=0 opp_err=0 dur=10.81s
seed=70242 o=0 hands= 109/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +91.74 hero_err=0 opp_err=0 dur=4.35s
seed=70242 o=1 hands= 443/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +22.57 hero_err=0 opp_err=0 dur=14.53s
seed=71242 o=0 hands=  43/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -232.56 hero_err=0 opp_err=0 dur=2.09s
seed=71242 o=1 hands=  70/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -142.86 hero_err=0 opp_err=0 dur=3.32s
seed=72242 o=0 hands= 129/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=  -77.52 hero_err=0 opp_err=0 dur=5.45s
seed=72242 o=1 hands= 146/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +68.49 hero_err=0 opp_err=0 dur=5.22s
seed=73242 o=0 hands=  33/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +303.03 hero_err=0 opp_err=0 dur=1.72s
seed=73242 o=1 hands=  65/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +153.85 hero_err=0 opp_err=0 dur=3.40s
seed=74242 o=0 hands=  41/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +243.90 hero_err=0 opp_err=0 dur=2.06s
seed=74242 o=1 hands=  38/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -263.16 hero_err=0 opp_err=0 dur=1.99s
