[gate] candidate=consult/artifacts/2026-05-31-scratch-improve/gate-harness/scaffold_candidate.zip sha=8266cb49fd6c run_dir=consult/artifacts/2026-05-31-scratch-improve/gate-harness/runs/positive_control_scaffold_40seed
[gate] Stage 1 SKIPPED (--skip-stage1)
[gate] Stage 2 SKIPPED (--skip-stage2)
[gate:candidate] hero=consult/artifacts/2026-05-31-scratch-improve/gate-harness/scaffold_candidate.zip comps=C0,C1 hands=400 seeds=142..181 jobs=1 pending=80 resumed=0
[gate:locked] C1 seed=149 hands=400/400 delta=-10000 bust=1 hero_err=0/18 p99_ms=0.669 dur=3.58s
[gate:locked] C1 seed=150 hands=400/400 delta=-10000 bust=1 hero_err=0/240 p99_ms=0.619 dur=3.46s
[gate:locked] C1 seed=151 hands=400/400 delta=-10000 bust=1 hero_err=0/131 p99_ms=1.949 dur=3.39s
[gate:locked] C1 seed=152 hands=400/400 delta=+2412 bust=0 hero_err=0/562 p99_ms=1.172 dur=3.0s
[gate:locked] C1 seed=153 hands=400/400 delta=+10348 bust=0 hero_err=0/510 p99_ms=0.668 dur=2.19s
[gate:locked] C1 seed=154 hands=400/400 delta=+2563 bust=0 hero_err=0/528 p99_ms=0.987 dur=2.24s
[gate:locked] C1 seed=155 hands=400/400 delta=+45894 bust=0 hero_err=0/426 p99_ms=1.089 dur=1.89s
[gate:locked] C1 seed=156 hands=400/400 delta=-10000 bust=1 hero_err=0/36 p99_ms=1.021 dur=4.4s
[gate:locked] C1 seed=157 hands=400/400 delta=+24795 bust=0 hero_err=0/591 p99_ms=1.344 dur=2.93s
[gate:locked] C1 seed=158 hands=331/400 delta=-10000 bust=1 hero_err=0/7 p99_ms=2.818 dur=2.99s
[gate:locked] C1 seed=159 hands=400/400 delta=+7275 bust=0 hero_err=0/527 p99_ms=1.468 dur=2.47s
[gate:locked] C1 seed=160 hands=400/400 delta=+13673 bust=0 hero_err=0/429 p99_ms=0.568 dur=1.61s
[gate:locked] C1 seed=161 hands=400/400 delta=-10000 bust=1 hero_err=0/87 p99_ms=0.962 dur=3.9s
[gate:locked] C1 seed=162 hands=400/400 delta=+28916 bust=0 hero_err=0/489 p99_ms=1.088 dur=1.53s
[gate:locked] C1 seed=163 hands=400/400 delta=-56 bust=0 hero_err=0/503 p99_ms=1.205 dur=2.71s
[gate:locked] C1 seed=164 hands=400/400 delta=+41542 bust=0 hero_err=0/403 p99_ms=1.013 dur=1.75s
[gate:locked] C1 seed=165 hands=400/400 delta=-10000 bust=1 hero_err=0/140 p99_ms=0.811 dur=3.8s
[gate:locked] C1 seed=166 hands=400/400 delta=-10000 bust=1 hero_err=0/173 p99_ms=5.749 dur=3.67s
[gate:locked] C1 seed=167 hands=400/400 delta=+1535 bust=0 hero_err=0/612 p99_ms=0.481 dur=2.55s
[gate:locked] C1 seed=168 hands=400/400 delta=+35585 bust=0 hero_err=0/413 p99_ms=0.707 dur=1.3s
[gate:locked] C1 seed=169 hands=315/400 delta=-10000 bust=1 hero_err=0/305 p99_ms=2.066 dur=1.99s
[gate:locked] C1 seed=170 hands=400/400 delta=+23966 bust=0 hero_err=0/494 p99_ms=0.513 dur=1.17s
[gate:locked] C1 seed=171 hands=337/400 delta=-10000 bust=1 hero_err=0/83 p99_ms=1.514 dur=2.14s
[gate:locked] C1 seed=172 hands=400/400 delta=-10000 bust=1 hero_err=0/59 p99_ms=0.676 dur=3.66s
[gate:locked] C1 seed=173 hands=400/400 delta=+37166 bust=0 hero_err=0/383 p99_ms=0.795 dur=1.1s
[gate:locked] C1 seed=174 hands=400/400 delta=+27318 bust=0 hero_err=0/448 p99_ms=0.622 dur=1.25s
[gate:locked] C1 seed=175 hands=400/400 delta=+4700 bust=0 hero_err=0/582 p99_ms=0.667 dur=2.33s
[gate:locked] C1 seed=176 hands=376/400 delta=-10000 bust=1 hero_err=0/543 p99_ms=0.670 dur=2.22s
[gate:locked] C1 seed=177 hands=400/400 delta=+10127 bust=0 hero_err=0/535 p99_ms=0.568 dur=2.11s
[gate:locked] C1 seed=178 hands=400/400 delta=+23969 bust=0 hero_err=0/478 p99_ms=0.623 dur=1.43s
[gate:locked] C1 seed=179 hands=400/400 delta=-10000 bust=1 hero_err=0/58 p99_ms=0.800 dur=3.73s
[gate:locked] C1 seed=180 hands=400/400 delta=+15406 bust=0 hero_err=0/482 p99_ms=0.754 dur=1.09s
[gate:locked] C1 seed=181 hands=400/400 delta=+11018 bust=0 hero_err=0/481 p99_ms=0.671 dur=1.23s
[gate] wrote /Users/farhad/Code/PokerBot/consult/artifacts/2026-05-31-scratch-improve/gate-harness/runs/positive_control_scaffold_40seed/gate_summary.json
[gate] wrote /Users/farhad/Code/PokerBot/consult/artifacts/2026-05-31-scratch-improve/gate-harness/runs/positive_control_scaffold_40seed/GATE_RESULTS.md
[gate] verdict=GATE_FAIL_POD_REGRESSION protected_sha_ok=True
[gate] C0 paired_n=40 paired_diff p50=0 mean=-4010.6 stdev=11514.0 min=-42606 max=6700 cand_bust=25.0% lock_bust=65.0% PASS=True
[gate] C1 paired_n=40 paired_diff p50=-11962 mean=-17030.5 stdev=18294.5 min=-55044 max=1550 cand_bust=27.5% lock_bust=40.0% PASS=False
